surah_no,surah_name_en,surah_name_roman,ayah_no_surah,ayah_no_quran,,ayah_ar,ayah_en,ruko_no,juz_no,manzil_no,hizb_quarter,total_ayah_surah,total_ayah_quran,place_of_revelation,sajah_ayah,sajdah_no,no_of_word_ayah,list_of_words,emotion
2,The Cow,Al-Baqarah,9,16,,فِى قُلُوبِهِم مَّرَضٌۭ فَزَادَهُمُ ٱللَّهُ مَرَضًۭا ۖ وَلَهُمْ عَذَابٌ أَلِيمٌۢ بِمَا كَانُوا۟ يَكْذِبُونَ,"In their hearts is a disease, which God has increased. They will have a painful punishment, because they have been lying.",3,1,1,1,286,6236,Medinan,FALSE,,13,"[فِى,قُلُوبِهِم,مَّرَضٌۭ,فَزَادَهُمُ,ٱللَّهُ,مَرَضًۭا,ۖ,وَلَهُمْ,عَذَابٌ,أَلِيمٌۢ,بِمَا,كَانُوا۟,يَكْذِبُونَ]",grief
2,The Cow,Al-Baqarah,10,17,,وَإِذَا قِيلَ لَهُمْ لَا تُفْسِدُوا۟ فِى ٱلْأَرْضِ قَالُوٓا۟ إِنَّمَا نَحْنُ مُصْلِحُونَ,"When they are told, ""Do not cause corruption in the land,"" they say, ""We are only promoters of peace,""",3,1,1,1,286,6236,Medinan,FALSE,,11,"[وَإِذَا,قِيلَ,لَهُمْ,لَا,تُفْسِدُوا۟,فِى,ٱلْأَرْضِ,قَالُوٓا۟,إِنَّمَا,نَحْنُ,مُصْلِحُونَ]",divine justice
2,The Cow,Al-Baqarah,11,18,,أَلَآ إِنَّهُمْ هُمُ ٱلْمُفْسِدُونَ وَلَٰكِن لَّا يَشْعُرُونَ,"but it is they who are really causing corruption, though they do not realize it.",3,1,1,1,286,6236,Medinan,FALSE,,7,"[أَلَآ,إِنَّهُمْ,هُمُ,ٱلْمُفْسِدُونَ,وَلَٰكِن,لَّا,يَشْعُرُونَ]",divine justice
2,The Cow,Al-Baqarah,12,19,,وَإِذَا قِيلَ لَهُمْ ءَامِنُوا۟ كَمَآ ءَامَنَ ٱلنَّاسُ قَالُوٓا۟ أَنُؤْمِنُ كَمَآ ءَامَنَ ٱلسُّفَهَآءُ ۗ أَلَآ إِنَّهُمْ هُمُ ٱلسُّفَهَآءُ وَلَٰكِن لَّا يَعْلَمُونَ,"And when they are told, ""Believe as other people have believed,"" they say, ""Are we to believe just as fools believe?"" Surely they are the fools, even though they do not realize it.",3,1,1,1,286,6236,Medinan,FALSE,,20,"[وَإِذَا,قِيلَ,لَهُمْ,ءَامِنُوا۟,كَمَآ,ءَامَنَ,ٱلنَّاسُ,قَالُوٓا۟,أَنُؤْمِنُ,كَمَآ,ءَامَنَ,ٱلسُّفَهَآءُ,ۗ,أَلَآ,إِنَّهُمْ,هُمُ,ٱلسُّفَهَآءُ,وَلَٰكِن,لَّا,يَعْلَمُونَ]",divine justice
2,The Cow,Al-Baqarah,13,20,,وَإِذَا لَقُوا۟ ٱلَّذِينَ ءَامَنُوا۟ قَالُوٓا۟ ءَامَنَّا وَإِذَا خَلَوْا۟ إِلَىٰ شَيَٰطِينِهِمْ قَالُوٓا۟ إِنَّا مَعَكُمْ إِنَّمَا نَحْنُ مُسْتَهْزِءُونَ,"When they meet those who believe, they say, ""We believe."" But when they are alone with their evil leaders, they say, ""We are really with you; we were only mocking.""",3,1,1,1,286,6236,Medinan,FALSE,,16,"[وَإِذَا,لَقُوا۟,ٱلَّذِينَ,ءَامَنُوا۟,قَالُوٓا۟,ءَامَنَّا,وَإِذَا,خَلَوْا۟,إِلَىٰ,شَيَٰطِينِهِمْ,قَالُوٓا۟,إِنَّا,مَعَكُمْ,إِنَّمَا,نَحْنُ,مُسْتَهْزِءُونَ]",divine justice
2,The Cow,Al-Baqarah,14,21,,ٱللَّهُ يَسْتَهْزِئُ بِهِمْ وَيَمُدُّهُمْ فِى طُغْيَٰنِهِمْ يَعْمَهُونَ,"God will requite them for their mockery, and draw them on, for a while, to wander blindly in their insolence.",3,1,1,1,286,6236,Medinan,FALSE,,7,"[ٱللَّهُ,يَسْتَهْزِئُ,بِهِمْ,وَيَمُدُّهُمْ,فِى,طُغْيَٰنِهِمْ,يَعْمَهُونَ]",divine justice
2,The Cow,Al-Baqarah,15,22,,أُو۟لَٰٓئِكَ ٱلَّذِينَ ٱشْتَرَوُا۟ ٱلضَّلَٰلَةَ بِٱلْهُدَىٰ فَمَا رَبِحَت تِّجَٰرَتُهُمْ وَمَا كَانُوا۟ مُهْتَدِينَ,"Such are those who have taken misguidance in exchange for guidance; but their bargain does not profit them, nor have they found true guidance.",3,1,1,1,286,6236,Medinan,FALSE,,11,"[أُو۟لَٰٓئِكَ,ٱلَّذِينَ,ٱشْتَرَوُا۟,ٱلضَّلَٰلَةَ,بِٱلْهُدَىٰ,فَمَا,رَبِحَت,تِّجَٰرَتُهُمْ,وَمَا,كَانُوا۟,مُهْتَدِينَ]",hope
2,The Cow,Al-Baqarah,16,23,,مَثَلُهُمْ كَمَثَلِ ٱلَّذِى ٱسْتَوْقَدَ نَارًۭا فَلَمَّآ أَضَآءَتْ مَا حَوْلَهُۥ ذَهَبَ ٱللَّهُ بِنُورِهِمْ وَتَرَكَهُمْ فِى ظُلُمَٰتٍۢ لَّا يُبْصِرُونَ,"They are like those who kindled a fire, and when it lighted up all around them, God took away their sight and left them in utter darkness, unable to see --",3,1,1,1,286,6236,Medinan,FALSE,,17,"[مَثَلُهُمْ,كَمَثَلِ,ٱلَّذِى,ٱسْتَوْقَدَ,نَارًۭا,فَلَمَّآ,أَضَآءَتْ,مَا,حَوْلَهُۥ,ذَهَبَ,ٱللَّهُ,بِنُورِهِمْ,وَتَرَكَهُمْ,فِى,ظُلُمَٰتٍۢ,لَّا,يُبْصِرُونَ]",divine justice
2,The Cow,Al-Baqarah,17,24,,صُمٌّۢ بُكْمٌ عُمْىٌۭ فَهُمْ لَا يَرْجِعُونَ,"deaf, dumb, and blind: they will never return \[to the right path\].",3,1,1,1,286,6236,Medinan,FALSE,,6,"[صُمٌّۢ,بُكْمٌ,عُمْىٌۭ,فَهُمْ,لَا,يَرْجِعُونَ]",grief
2,The Cow,Al-Baqarah,18,25,,أَوْ كَصَيِّبٍۢ مِّنَ ٱلسَّمَآءِ فِيهِ ظُلُمَٰتٌۭ وَرَعْدٌۭ وَبَرْقٌۭ يَجْعَلُونَ أَصَٰبِعَهُمْ فِىٓ ءَاذَانِهِم مِّنَ ٱلصَّوَٰعِقِ حَذَرَ ٱلْمَوْتِ ۚ وَٱللَّهُ مُحِيطٌۢ بِٱلْكَٰفِرِينَ,"Or their case is like that of heavy rain pouring down from the clouds, accompanied by darkness, thunder and lightning; they thrust their fingers in their ears at the sound of thunderclaps for fear of death. God thus encompasses those who deny the truth.",3,1,1,1,286,6236,Medinan,FALSE,,20,"[أَوْ,كَصَيِّبٍۢ,مِّنَ,ٱلسَّمَآءِ,فِيهِ,ظُلُمَٰتٌۭ,وَرَعْدٌۭ,وَبَرْقٌۭ,يَجْعَلُونَ,أَصَٰبِعَهُمْ,فِىٓ,ءَاذَانِهِم,مِّنَ,ٱلصَّوَٰعِقِ,حَذَرَ,ٱلْمَوْتِ,ۚ,وَٱللَّهُ,مُحِيطٌۢ,بِٱلْكَٰفِرِينَ]",divine justice
2,The Cow,Al-Baqarah,19,26,,يَكَادُ ٱلْبَرْقُ يَخْطَفُ أَبْصَٰرَهُمْ ۖ كُلَّمَآ أَضَآءَ لَهُم مَّشَوْا۟ فِيهِ وَإِذَآ أَظْلَمَ عَلَيْهِمْ قَامُوا۟ ۚ وَلَوْ شَآءَ ٱللَّهُ لَذَهَبَ بِسَمْعِهِمْ وَأَبْصَٰرِهِمْ ۚ إِنَّ ٱللَّهَ عَلَىٰ كُلِّ شَىْءٍۢ قَدِيرٌۭ,"The lightning almost takes away their sight: whenever it flashes upon them, they walk on, but as soon as darkness falls around them, they stand still. Indeed, if God pleased, He could take away their hearing and their sight: God has power over all things.",3,1,1,1,286,6236,Medinan,FALSE,,28,"[يَكَادُ,ٱلْبَرْقُ,يَخْطَفُ,أَبْصَٰرَهُمْ,ۖ,كُلَّمَآ,أَضَآءَ,لَهُم,مَّشَوْا۟,فِيهِ,وَإِذَآ,أَظْلَمَ,عَلَيْهِمْ,قَامُوا۟,ۚ,وَلَوْ,شَآءَ,ٱللَّهُ,لَذَهَبَ,بِسَمْعِهِمْ,وَأَبْصَٰرِهِمْ,ۚ,إِنَّ,ٱللَّهَ,عَلَىٰ,كُلِّ,شَىْءٍۢ,قَدِيرٌۭ]",hope
2,The Cow,Al-Baqarah,20,27,,يَٰٓأَيُّهَا ٱلنَّاسُ ٱعْبُدُوا۟ رَبَّكُمُ ٱلَّذِى خَلَقَكُمْ وَٱلَّذِينَ مِن قَبْلِكُمْ لَعَلَّكُمْ تَتَّقُونَ,"People, worship your Lord, who created you and those before you, so that you may become righteous,",4,1,1,1,286,6236,Medinan,FALSE,,11,"[يَٰٓأَيُّهَا,ٱلنَّاسُ,ٱعْبُدُوا۟,رَبَّكُمُ,ٱلَّذِى,خَلَقَكُمْ,وَٱلَّذِينَ,مِن,قَبْلِكُمْ,لَعَلَّكُمْ,تَتَّقُونَ]",divine justice
2,The Cow,Al-Baqarah,21,28,,ٱلَّذِى جَعَلَ لَكُمُ ٱلْأَرْضَ فِرَٰشًۭا وَٱلسَّمَآءَ بِنَآءًۭ وَأَنزَلَ مِنَ ٱلسَّمَآءِ مَآءًۭ فَأَخْرَجَ بِهِۦ مِنَ ٱلثَّمَرَٰتِ رِزْقًۭا لَّكُمْ ۖ فَلَا تَجْعَلُوا۟ لِلَّهِ أَندَادًۭا وَأَنتُمْ تَعْلَمُونَ,"who made the earth a bed, and the sky a canopy; and it is He who sends down rain from above for the growth of every kind of food for your sustenance. And do not knowingly set up rivals to God.",4,1,1,1,286,6236,Medinan,FALSE,,24,"[ٱلَّذِى,جَعَلَ,لَكُمُ,ٱلْأَرْضَ,فِرَٰشًۭا,وَٱلسَّمَآءَ,بِنَآءًۭ,وَأَنزَلَ,مِنَ,ٱلسَّمَآءِ,مَآءًۭ,فَأَخْرَجَ,بِهِۦ,مِنَ,ٱلثَّمَرَٰتِ,رِزْقًۭا,لَّكُمْ,ۖ,فَلَا,تَجْعَلُوا۟,لِلَّهِ,أَندَادًۭا,وَأَنتُمْ,تَعْلَمُونَ]",hope
2,The Cow,Al-Baqarah,22,29,,وَإِن كُنتُمْ فِى رَيْبٍۢ مِّمَّا نَزَّلْنَا عَلَىٰ عَبْدِنَا فَأْتُوا۟ بِسُورَةٍۢ مِّن مِّثْلِهِۦ وَٱدْعُوا۟ شُهَدَآءَكُم مِّن دُونِ ٱللَّهِ إِن كُنتُمْ صَٰدِقِينَ,"If you are in doubt about the revelation We have sent down to Our servant, then produce a single chapter like it, and call upon your helpers besides God, if you are truthful.",4,1,1,1,286,6236,Medinan,FALSE,,20,"[وَإِن,كُنتُمْ,فِى,رَيْبٍۢ,مِّمَّا,نَزَّلْنَا,عَلَىٰ,عَبْدِنَا,فَأْتُوا۟,بِسُورَةٍۢ,مِّن,مِّثْلِهِۦ,وَٱدْعُوا۟,شُهَدَآءَكُم,مِّن,دُونِ,ٱللَّهِ,إِن,كُنتُمْ,صَٰدِقِينَ]",hope
2,The Cow,Al-Baqarah,23,30,,فَإِن لَّمْ تَفْعَلُوا۟ وَلَن تَفْعَلُوا۟ فَٱتَّقُوا۟ ٱلنَّارَ ٱلَّتِى وَقُودُهَا ٱلنَّاسُ وَٱلْحِجَارَةُ ۖ أُعِدَّتْ لِلْكَٰفِرِينَ,"But if you cannot do it, and you can never do it, then guard yourselves against the Fire whose fuel is men and stones, prepared for those who deny the truth.",4,1,1,1,286,6236,Medinan,FALSE,,14,"[فَإِن,لَّمْ,تَفْعَلُوا۟,وَلَن,تَفْعَلُوا۟,فَٱتَّقُوا۟,ٱلنَّارَ,ٱلَّتِى,وَقُودُهَا,ٱلنَّاسُ,وَٱلْحِجَارَةُ,ۖ,أُعِدَّتْ,لِلْكَٰفِرِينَ]",taqwa
2,The Cow,Al-Baqarah,24,31,,وَبَشِّرِ ٱلَّذِينَ ءَامَنُوا۟ وَعَمِلُوا۟ ٱلصَّٰلِحَٰتِ أَنَّ لَهُمْ جَنَّٰتٍۢ تَجْرِى مِن تَحْتِهَا ٱلْأَنْهَٰرُ ۖ كُلَّمَا رُزِقُوا۟ مِنْهَا مِن ثَمَرَةٍۢ رِّزْقًۭا ۙ قَالُوا۟ هَٰذَا ٱلَّذِى رُزِقْنَا مِن قَبْلُ ۖ وَأُتُوا۟ بِهِۦ مُتَشَٰبِهًۭا ۖ وَلَهُمْ فِيهَآ أَزْوَٰجٌۭ مُّطَهَّرَةٌۭ ۖ وَهُمْ فِيهَا خَٰلِدُونَ,"Give the good news to those who believe and do good works, that they will have Gardens through which rivers flow: whenever they are given fruit to eat they will say, ""This is what we were provided with before,"" because they were given similar things. And there will be pure spouses for them, and they will abide there forever.",4,1,1,1,286,6236,Medinan,FALSE,,39,"[وَبَشِّرِ,ٱلَّذِينَ,ءَامَنُوا۟,وَعَمِلُوا۟,ٱلصَّٰلِحَٰتِ,أَنَّ,لَهُمْ,جَنَّٰتٍۢ,تَجْرِى,مِن,تَحْتِهَا,ٱلْأَنْهَٰرُ,ۖ,كُلَّمَا,رُزِقُوا۟,مِنْهَا,مِن,ثَمَرَةٍۢ,رِّزْقًۭا,ۙ,قَالُوا۟,هَٰذَا,ٱلَّذِى,رُزِقْنَا,مِن,قَبْلُ,ۖ,وَأُتُوا۟,بِهِۦ,مُتَشَٰبِهًۭا,ۖ,وَلَهُمْ,فِيهَآ,أَزْوَٰجٌۭ,مُّطَهَّرَةٌۭ,ۖ,وَهُمْ,فِيهَا,خَٰلِدُونَ]",hope
2,The Cow,Al-Baqarah,25,32,,۞ إِنَّ ٱللَّهَ لَا يَسْتَحْىِۦٓ أَن يَضْرِبَ مَثَلًۭا مَّا بَعُوضَةًۭ فَمَا فَوْقَهَا ۚ فَأَمَّا ٱلَّذِينَ ءَامَنُوا۟ فَيَعْلَمُونَ أَنَّهُ ٱلْحَقُّ مِن رَّبِّهِمْ ۖ وَأَمَّا ٱلَّذِينَ كَفَرُوا۟ فَيَقُولُونَ مَاذَآ أَرَادَ ٱللَّهُ بِهَٰذَا مَثَلًۭا ۘ يُضِلُّ بِهِۦ كَثِيرًۭا وَيَهْدِى بِهِۦ كَثِيرًۭا ۚ وَمَا يُضِلُّ بِهِۦٓ إِلَّا ٱلْفَٰسِقِينَ,"God does not disdain to give a parable about a gnat or a smaller creature. The faithful know that it is the truth from their Lord, but those who deny the truth ask, ""What could God mean by this parable?"" He lets many go astray through it, and guides many by it. But He makes only the disobedient go astray:",4,1,1,2,286,6236,Medinan,FALSE,,44,"[۞,إِنَّ,ٱللَّهَ,لَا,يَسْتَحْىِۦٓ,أَن,يَضْرِبَ,مَثَلًۭا,مَّا,بَعُوضَةًۭ,فَمَا,فَوْقَهَا,ۚ,فَأَمَّا,ٱلَّذِينَ,ءَامَنُوا۟,فَيَعْلَمُونَ,أَنَّهُ,ٱلْحَقُّ,مِن,رَّبِّهِمْ,ۖ,وَأَمَّا,ٱلَّذِينَ,كَفَرُوا۟,فَيَقُولُونَ,مَاذَآ,أَرَادَ,ٱللَّهُ,بِهَٰذَا,مَثَلًۭا,ۘ,يُضِلُّ,بِهِۦ,كَثِيرًۭا,وَيَهْدِى,بِهِۦ,كَثِيرًۭا,ۚ,وَمَا,يُضِلُّ,بِهِۦٓ,إِلَّا,ٱلْفَٰسِقِينَ]",divine justice
2,The Cow,Al-Baqarah,26,33,,ٱلَّذِينَ يَنقُضُونَ عَهْدَ ٱللَّهِ مِنۢ بَعْدِ مِيثَٰقِهِۦ وَيَقْطَعُونَ مَآ أَمَرَ ٱللَّهُ بِهِۦٓ أَن يُوصَلَ وَيُفْسِدُونَ فِى ٱلْأَرْضِ ۚ أُو۟لَٰٓئِكَ هُمُ ٱلْخَٰسِرُونَ,"those who break God's covenant after they have pledged to keep it, and sever whatever God has ordered to be joined, and spread corruption in the land -- it is they who are the losers.",4,1,1,2,286,6236,Medinan,FALSE,,21,"[ٱلَّذِينَ,يَنقُضُونَ,عَهْدَ,ٱللَّهِ,مِنۢ,بَعْدِ,مِيثَٰقِهِۦ,وَيَقْطَعُونَ,مَآ,أَمَرَ,ٱللَّهُ,بِهِۦٓ,أَن,يُوصَلَ,وَيُفْسِدُونَ,فِى,ٱلْأَرْضِ,ۚ,أُو۟لَٰٓئِكَ,هُمُ,ٱلْخَٰسِرُونَ]",divine justice
2,The Cow,Al-Baqarah,27,34,,كَيْفَ تَكْفُرُونَ بِٱللَّهِ وَكُنتُمْ أَمْوَٰتًۭا فَأَحْيَٰكُمْ ۖ ثُمَّ يُمِيتُكُمْ ثُمَّ يُحْيِيكُمْ ثُمَّ إِلَيْهِ تُرْجَعُونَ,"How can you disbelieve in God when you were dead \[lifeless\] and He gave you life? He will let you die once more, then bring you back to life again, whereupon you will be returned to Him.",4,1,1,2,286,6236,Medinan,FALSE,,14,"[كَيْفَ,تَكْفُرُونَ,بِٱللَّهِ,وَكُنتُمْ,أَمْوَٰتًۭا,فَأَحْيَٰكُمْ,ۖ,ثُمَّ,يُمِيتُكُمْ,ثُمَّ,يُحْيِيكُمْ,ثُمَّ,إِلَيْهِ,تُرْجَعُونَ]",grief
2,The Cow,Al-Baqarah,28,35,,هُوَ ٱلَّذِى خَلَقَ لَكُم مَّا فِى ٱلْأَرْضِ جَمِيعًۭا ثُمَّ ٱسْتَوَىٰٓ إِلَى ٱلسَّمَآءِ فَسَوَّىٰهُنَّ سَبْعَ سَمَٰوَٰتٍۢ ۚ وَهُوَ بِكُلِّ شَىْءٍ عَلِيمٌۭ,It is He who created everything on the earth for you: then He turned towards heaven and fashioned it into the seven heavens. He has knowledge of all things.,4,1,1,2,286,6236,Medinan,FALSE,,20,"[هُوَ,ٱلَّذِى,خَلَقَ,لَكُم,مَّا,فِى,ٱلْأَرْضِ,جَمِيعًۭا,ثُمَّ,ٱسْتَوَىٰٓ,إِلَى,ٱلسَّمَآءِ,فَسَوَّىٰهُنَّ,سَبْعَ,سَمَٰوَٰتٍۢ,ۚ,وَهُوَ,بِكُلِّ,شَىْءٍ,عَلِيمٌۭ]",hope
2,The Cow,Al-Baqarah,29,36,,وَإِذْ قَالَ رَبُّكَ لِلْمَلَٰٓئِكَةِ إِنِّى جَاعِلٌۭ فِى ٱلْأَرْضِ خَلِيفَةًۭ ۖ قَالُوٓا۟ أَتَجْعَلُ فِيهَا مَن يُفْسِدُ فِيهَا وَيَسْفِكُ ٱلدِّمَآءَ وَنَحْنُ نُسَبِّحُ بِحَمْدِكَ وَنُقَدِّسُ لَكَ ۖ قَالَ إِنِّىٓ أَعْلَمُ مَا لَا تَعْلَمُونَ,"When your Lord said to the angels, ""I am putting a successor on earth,"" they said, ""Will You place someone there who will cause corruption on it and shed blood, while we glorify You with Your praise and extol Your holiness?"" \[God\] answered, ""Surely, I know that which you do not know.""",5,1,1,2,286,6236,Medinan,FALSE,,30,"[وَإِذْ,قَالَ,رَبُّكَ,لِلْمَلَٰٓئِكَةِ,إِنِّى,جَاعِلٌۭ,فِى,ٱلْأَرْضِ,خَلِيفَةًۭ,ۖ,قَالُوٓا۟,أَتَجْعَلُ,فِيهَا,مَن,يُفْسِدُ,فِيهَا,وَيَسْفِكُ,ٱلدِّمَآءَ,وَنَحْنُ,نُسَبِّحُ,بِحَمْدِكَ,وَنُقَدِّسُ,لَكَ,ۖ,قَالَ,إِنِّىٓ,أَعْلَمُ,مَا,لَا,تَعْلَمُونَ]",hope
